candidate_id,rank,score,technical_evidence,career_fit,seniority,logistics,behavioral,trust,confidence,top10_eligible,penalty,risk_flags,career_retrieval_count,career_production_count,vector_count,eval_count,ml_count,career_retrieval_terms,career_production_terms,vector_terms,eval_terms
CAND_0083307,1,0.698488,0.5191,0.861243,1.0,0.6,0.660935,0.85945,0.86637,True,0.0,,5,2,9,4,11,bm25|ranking|retrieval|search|semantic search,owned|pipeline,bge|elasticsearch|embedding|embeddings|faiss|pinecone|sentence-transformers|vector|weaviate,a/b|a/b test|evaluation framework|relevance
CAND_0081846,2,0.695087,0.43722,0.757618,1.0,0.7,0.938157,0.71815,0.78616,True,0.0,,6,8,8,8,9,bm25|ranker|ranking|retrieval|search|semantic search,drift|index refresh|latency|monitoring|owned|pipeline|refresh|scale,bge|elasticsearch|embedding|embeddings|faiss|qdrant|sentence-transformers|vector,a/b|evaluation framework|mrr|ndcg|offline evaluation|offline metric|online evaluation|recall
CAND_0046525,3,0.693733,0.43814,0.658128,1.0,0.95,0.871796,0.81105,0.78069,True,0.0,,5,2,7,8,8,bm25|ranker|ranking|retrieval|search,latency|pipeline,bge|elasticsearch|embedding|embeddings|faiss|qdrant|vector,a/b|a/b test|evaluation framework|mrr|ndcg|offline evaluation|online evaluation|recall
CAND_0018499,4,0.692911,0.3925,0.659718,1.0,0.95,0.887856,0.977,0.69706,True,0.0,,6,3,8,7,9,bm25|matching|ranker|ranking|retrieval|search,deployed|latency|pipeline,bge|embedding|embeddings|faiss|milvus|pinecone|vector|weaviate,a/b|evaluation framework|mrr|ndcg|offline evaluation|online evaluation|recall
CAND_0039383,5,0.690633,0.42126,0.756643,1.0,0.95,0.795154,0.7253,0.781625,True,0.0,,5,2,5,4,9,bm25|ranking|retrieval|search|semantic search,owned|shipped,bge|elasticsearch|faiss|sentence-transformers|vector,a/b|a/b test|offline metric|relevance
CAND_0041669,6,0.685902,0.43808,0.791882,1.0,0.8,0.776918,0.72385,0.78822,True,0.0,,3,2,7,4,9,ranking|recommendation|search,owned|pipeline,embedding|embeddings|faiss|milvus|pinecone|qdrant|weaviate,a/b|a/b test|evaluation framework|relevance
CAND_0043860,7,0.677095,0.39974,0.750253,1.0,0.75,0.920024,0.639,0.766045,True,0.0,,2,2,2,0,9,ranking|recommendation,pipeline|production,qdrant|vector,
CAND_0010149,8,0.672936,0.39124,0.654723,1.0,1.0,0.860594,0.7083,0.699345,True,0.0,,2,2,3,0,12,ranking|recommendation,pipeline|production,elasticsearch|milvus|vector,
CAND_0008425,9,0.669947,0.42616,0.847278,1.0,0.55,0.72961,0.8518,0.847785,True,0.0,,8,9,6,5,9,bm25|matching|ranking|recommendation|recommendations|retrieval|search|semantic search,deployed|drift|index refresh|latency|monitoring|owned|pipeline|refresh|scale,bge|embedding|pinecone|qdrant|sentence-transformers|vector,a/b|a/b test|ndcg|offline metric|online evaluation
CAND_0076163,10,0.667205,0.42604,0.756628,1.0,0.6,0.782579,0.89805,0.77482,True,0.0,,2,2,3,1,8,ranking|search,owned|pipeline,elasticsearch|opensearch|weaviate,relevance
