candidate_id,rank,score,reasoning
CAND_0010149,1,0.851898,"#1 — a clear recommendation. ML Engineer with 6.9 years in Bangalore, Karnataka. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Edges out #2 on production & career evidence. Open to work, 82% response rate."
CAND_0027691,2,0.848004,"Strong fit at #2: NLP Engineer with 6.5 years in Pune, Maharashtra. Direct, hands-on evidence for bm25, ranking, retrieval, and drift — the core of what this role needs. Edges out #3 on production & career evidence. Open to work, 68% response rate."
CAND_0077337,3,0.843405,"Top of the list (#3). Staff Machine Learning Engineer with 7.0 years in Kochi, Kerala. Direct, hands-on evidence for bm25, ranker, ranking, and drift — the core of what this role needs. Open to work, 95% response rate."
CAND_0052328,4,0.842460,"#4 — a clear recommendation. Recommendation Systems Engineer with 6.5 years in Pune, Maharashtra. Direct, hands-on evidence for recommendation, drift, monitoring, and embedding — the core of what this role needs. Open to work, 79% response rate."
CAND_0017960,5,0.840379,"#5 — a clear recommendation. Recommendation Systems Engineer with 7.7 years in Bangalore, Karnataka. Direct, hands-on evidence for ranking, recommendation, search, and owned — the core of what this role needs. Open to work, 72% response rate."
CAND_0079387,6,0.839365,"#6, and a good match. AI Engineer with 6.9 years in Trivandrum, Kerala. Direct, hands-on evidence for bm25, ranking, recommendation, and drift — the core of what this role needs. Open to work, 81% response rate."
CAND_0064326,7,0.832846,"#7, and a good match. Search Engineer with 7.6 years in Gurgaon, Haryana. Direct, hands-on evidence for ranking, search, owned, and pipeline — the core of what this role needs. Edges out #8 on production & career evidence. Open to work, 94% response rate."
CAND_0002025,8,0.831620,"Senior AI Engineer with 5.9 years in Trivandrum, Kerala. Earns #8 on consistent evidence. Direct, hands-on evidence for matching, ranking, recommendation, and deployed — the core of what this role needs. Edges out #9 on reachability & engagement. Open to work, 80% response rate."
CAND_0010257,9,0.824550,"#9, and a good match. Senior Data Scientist with 6.5 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, recommendation, search, and drift — the core of what this role needs. Open to work, 72% response rate. One flag: a 120-day notice period."
CAND_0043860,10,0.820108,"Solid fit at #10. Junior ML Engineer with 6.1 years in Bhubaneswar, Odisha. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Edges out #11 on production & career evidence. Open to work, 81% response rate."
CAND_0061257,11,0.818415,"#11, and a good match. Staff Machine Learning Engineer with 8.0 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, search, owned, and pipeline — the core of what this role needs. Edges out #12 on seniority match. Open to work, 87% response rate."
CAND_0092255,12,0.815898,"Solid fit at #12. ML Engineer with 5.2 years in Noida, Uttar Pradesh. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Edges out #13 on production & career evidence."
CAND_0046064,13,0.810682,"Senior NLP Engineer with 8.9 years in Coimbatore, Tamil Nadu. Earns #13 on consistent evidence. Direct, hands-on evidence for bm25, matching, ranker, and deployed — the core of what this role needs. Edges out #14 on reachability & engagement. Open to work, 78% response rate."
CAND_0008425,14,0.809923,"Senior NLP Engineer with 7.8 years in Kolkata, West Bengal. Earns #14 on consistent evidence. Direct, hands-on evidence for bm25, matching, ranking, and deployed — the core of what this role needs. Edges out #15 on production & career evidence. Open to work, 66% response rate."
CAND_0080766,15,0.807439,"A dependable #15. Staff Machine Learning Engineer with 8.8 years in Coimbatore, Tamil Nadu. Direct, hands-on evidence for bm25, personalization, ranking, and drift — the core of what this role needs."
CAND_0005260,16,0.806198,"Senior NLP Engineer with 5.2 years in Chennai, Tamil Nadu. Earns #16 on consistent evidence. Direct, hands-on evidence for bm25, matching, ranker, and deployed — the core of what this role needs."
CAND_0005538,17,0.805656,"A dependable #17. Senior AI Engineer with 5.9 years in Kolkata, West Bengal. Direct, hands-on evidence for matching, ranking, recommendation, and index refresh — the core of what this role needs. Open to work, 81% response rate."
CAND_0052682,18,0.805617,"NLP Engineer with 6.6 years in Vizag, Andhra Pradesh. Earns #18 on consistent evidence. Direct, hands-on evidence for ranking, recommendation, pipeline, and embedding — the core of what this role needs. Edges out #19 on production & career evidence. Open to work, 88% response rate."
CAND_0088025,19,0.804820,"A dependable #19. Staff Machine Learning Engineer with 8.6 years in Jaipur, Rajasthan. Direct, hands-on evidence for ranker, ranking, recommendation, and owned — the core of what this role needs. Open to work, 83% response rate."
CAND_0068351,20,0.802468,"Solid fit at #20. Lead AI Engineer with 6.4 years in Delhi, Delhi. Direct, hands-on evidence for matching, ranking, search, and owned — the core of what this role needs. Edges out #21 on production & career evidence."
CAND_0096142,21,0.799200,"Reasonable fit at #21. Applied ML Engineer with 5.0 years in Hyderabad, Telangana. Direct, hands-on evidence for ranking, recommendation, owned, and pipeline — the core of what this role needs. Edges out #22 on production & career evidence. One flag: a 120-day notice period."
CAND_0026640,22,0.793148,"#22 — partial but real. Computer Vision Engineer with 6.1 years in Ahmedabad, Gujarat. Direct, hands-on evidence for ranking, recommendation, pipeline, and production — the core of what this role needs. Edges out #23 on production & career evidence."
CAND_0088335,23,0.790640,"Worth a look at #23. AI Research Engineer with 6.4 years in Noida, Uttar Pradesh. Direct, hands-on evidence for search, pipeline, production, and vector — the core of what this role needs."
